title,channel,views,url,depth,recommended_from,category_id,tags,thumbnail_url
The Weird Physics Surrounding Black Holes That Will Make You Question Your Existence,Astrum Extra,2067961 views,https://www.youtube.com/watch?v=RY4IDi8435U,0,initial,27,"Astrum,Astronomy,Science,Space,Stars,Mars,SolarSystem,Universe,Earth,Astrophysics,Asteroids,Cosmology,Space missions,Star clusters,black holes,general relativity,inside a black hole,travel inside a black hole,black holes explained,white hole,worm hole,universe,existence of wormhole,what happens if,what happens inside of a black hole,event horizon,solar system,outerspace,space,astrum space",https://i.ytimg.com/vi/RY4IDi8435U/maxresdefault.jpg
Kurtuluş Kuş & Burak Bulut - Baba Yak (Berkan Ural Remix),Berkan Ural Music,460282 views,https://www.youtube.com/watch?v=05OFp7YFoxU,1,The Weird Physics Surrounding Black Holes That Will Make You Question Your Existence,10,,https://i.ytimg.com/vi/05OFp7YFoxU/maxresdefault.jpg
Neutron Stars Are Weirder Than We Ever Imagined,Astrum Extra,925133 views,https://www.youtube.com/watch?v=33xCRo3UW9Q,1,The Weird Physics Surrounding Black Holes That Will Make You Question Your Existence,27,"Astrum,astrum space,astrumspace,astrum extra,astrumextra,space,compilation,astrum compilation,astronomy,astrophysics,science,physics,documentary,star,stars,galaxies,NASA,neutron star,neutron,neutron stars,telescope,shockwave,supernova,supernovae,pulsar,pulsars,magnetar,magnetars,gpm j1839–10,positron,signal,geminga,antimatter,anti matter,kilonova,kilonovae,Gravitational wave,gravitational waves,LIGO,NANO Grav,NANOgrav,big bang,blackhole,black hole,spacetime,gravity",https://i.ytimg.com/vi/33xCRo3UW9Q/maxresdefault.jpg
Kurtuluş Kuş & Burak Bulut - Beni Bu Geceden Öldür (Berkan Ural Remix),Berkan Ural Music,15386 views,https://www.youtube.com/watch?v=CIO5RV9fXnw,2,LightsPatrick PatrikiosLights,10,,https://i.ytimg.com/vi/CIO5RV9fXnw/maxresdefault.jpg
Kurtuluş Kuş & Burak Bulut - Sevmedim Deme,Mahzen Fabrick,301386872 views,https://www.youtube.com/watch?v=rbjAilk31Sg,2,LightsPatrick PatrikiosLights,10,"netd Müzik,Musik,musiqi,музика,muziek,musique,musiqaa,موسيقى,şarkılar,şarkı,müzik,Official,netd,Hit Şarkılar,izle,klip,Top 10,top 20,en hit,çok dinlenen,yeni şarkılar,en yeni şarkılar,2021 hit şarkılar,Turkish Music,turca musica,Türkçe Müzik,Kurtuluş Kuş & Burak Bulut - Sevmedim Deme,Kurtuluş Kuş,Burak Bulut,Sevmedim Deme",https://i.ytimg.com/vi/rbjAilk31Sg/maxresdefault.jpg
Dreamer,DivKid - Topic,76668 views,https://www.youtube.com/watch?v=gSp5JNyKpxk,2,Neutron Stars Are Weirder Than We Ever Imagined,10,"DivKid,Dreamer",https://i.ytimg.com/vi/gSp5JNyKpxk/maxresdefault.jpg
Our Planet | High Seas | FULL EPISODE | Netflix,Netflix,41780694 views,https://www.youtube.com/watch?v=9FqwhW0B3tY,2,Neutron Stars Are Weirder Than We Ever Imagined,24,"education,netflix education,documentary,creatures,creature,beautiful,ocean,netflix,natural beauty",https://i.ytimg.com/vi/9FqwhW0B3tY/maxresdefault.jpg
Come With Us,Nat Keefe & Hot Buttered Rum - Topic,273111 views,https://www.youtube.com/watch?v=SQUdPSWHRTc,3,Kurtuluş Kuş & Burak Bulut - Beni Bu Geceden Öldür (Berkan Ural Remix),10,"Nat Keefe & Hot Buttered Rum,Come With Us",https://i.ytimg.com/vi/SQUdPSWHRTc/maxresdefault.jpg
Black Holes Keep Getting Stranger,Astrum Extra,246863 views,https://www.youtube.com/watch?v=Dpv-1ybVTRs,3,Kurtuluş Kuş & Burak Bulut - Beni Bu Geceden Öldür (Berkan Ural Remix),27,"Astrum,astrum space,astrumspace,astrum extra,astrumextra,space,compilation,astronomy,astrophysics,science,physics,documentary,solar system,universe,star,stars,galaxy,galaxies,NASA,ESA,black hole,black,hole,holes,blackhole,blackholes,theoretical,event,horizon,singularity,inside,spacetime,relativity,general relativity,einstein,jwst,james,webb,telescope,quasar,supermassive,stellar,microscopic,tiny,eddington,limit,accretion,collision,merger,ligo,gravitational,wave,waves,gravity,virgo",https://i.ytimg.com/vi/Dpv-1ybVTRs/maxresdefault.jpg
Sevmedim Deme,Kurtuluş Kuş - Topic,84632644 views,https://www.youtube.com/watch?v=SfAlJ9-PFPM,3,Kurtuluş Kuş & Burak Bulut - Sevmedim Deme,10,"Kurtuluş Kuş, Burak Bulut,Kurtuluş Kuş,Burak Bulut,Onur Aşar,Sevmedim Deme",https://i.ytimg.com/vi/SfAlJ9-PFPM/maxresdefault.jpg
